"id","question","option_a","option_b","option_c","option_d","correct_option","fun_fact"
1,"I wear a yellow jacket and monkeys can’t resist me! Who am I?","Mango","Banana","Lemon","Pineapple","Banana","Bananas are actually berries, while strawberries are not!"
2,"I’m called the king of fruits, and I smell like summer holidays! Who am I?","Apple","Mango","Papaya","Orange","Mango","Mango is the national fruit of India and is loved worldwide for its sweetness!"
3,"I’m green outside, red inside, and full of tiny black stars. Who am I?","Kiwi","Watermelon","Strawberry","Apple","Watermelon","Watermelons are 92% water — perfect for summer hydration!"
4,"I’m long, green, and I turn people into ‘cool’ salad lovers! Who am I?","Cucumber","Capsicum","Bottle Gourd","Banana","Cucumber","Cucumbers are 95% water — eating me is like drinking in crunchy form!"
5,"People cry when they cut me, but I’m not evil! Who am I?","Garlic","Onion","Chili","Radish","Onion","Onions release a gas that turns into mild sulfuric acid when it hits your eyes!"
6,"I’m red and spicy, and I bring tears of fire! Who am I?","Tomato","Carrot","Chili","Radish","Chili","The heat in chilies comes from a compound called capsaicin — the same used in pepper sprays!"
7,"I’m small, round, and people use me to make ketchup! Who am I?","Apple","Tomato","Cherry","Grapes","Tomato","Tomatoes are fruits, not vegetables — botanically speaking!"
8,"I grow underground and make French fries famous! Who am I?","Onion","Potato","Garlic","Carrot","Potato","Potatoes were the first vegetable grown in space by NASA!"
9,"I’m orange, crunchy, and rabbits call me bestie! Who am I?","Pumpkin","Carrot","Papaya","Sweet Potato","Carrot","Carrots were originally purple — the orange ones came later from Dutch farmers!"
10,"I’m full of iron and Popeye’s secret weapon! Who am I?","Spinach","Broccoli","Cabbage","Mint","Spinach","Spinach boosts muscle power thanks to natural nitrates!"
11,"I look like a tiny green tree — kids fear me, moms love me! Who am I?","Cauliflower","Cabbage","Broccoli","Spinach","Broccoli","Broccoli contains more vitamin C than oranges!"
12,"I’m red and heart-shaped — people say I’m sweet love! Who am I?","Apple","Strawberry","Cherry","Watermelon","Strawberry","Strawberries are the only fruit with seeds on the outside!"
13,"I’m a fruit with a crown — the king’s favorite snack! Who am I?","Pineapple","Apple","Mango","Banana","Pineapple","Pineapples take nearly 2 years to grow a single fruit!"
14,"I’m small, sour, and perfect for lemonade! Who am I?","Orange","Lemon","Grapefruit","Tamarind","Lemon","Lemons can power a small LED bulb using their acid as electricity!"
15,"I’m green outside, pink inside, and full of love seeds. Who am I?","Guava","Pomegranate","Papaya","Watermelon","Guava","Guavas have 4 times more vitamin C than oranges!"
16,"I’m spiky outside but golden and sweet inside. Who am I?","Jackfruit","Pineapple","Durian","Custard Apple","Pineapple","Each pineapple is made up of many small berries fused together!"
17,"I grow tall, give shade, and monkeys swing on me! Who am I?","Neem Tree","Banyan Tree","Coconut Tree","Mango Tree","Banyan Tree","Banyan trees can live for over 200 years and grow their own forests from aerial roots!"
