"id","fact","image","question","option_a","option_b","option_c","option_d","correct_option"
1,"Swans mate for life","/static/animal_images/Gemini_Generated_Image_qen7i6qen7i6qen7.png","I stay with my partner forever, and when we meet, our necks form a heart! Who am I?","Dove","Swan","Parrot","Flamingo","B"
2,"Kingfishers smack food","/static/animal_images/Gemini_Generated_Image_cw3ut9cw3ut9cw3u.png","I smash my dinner before eating it—because my food needs a good beating first! Who am I?","Eagle","Kingfisher","Penguin","Owl","B"
3,"Macaws have powerful beaks","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (1).png","My beak is so strong, I could probably crack open a treasure chest! Who am I?","Macaw","Crow","Pelican","Eagle","A"
4,"Owls rotate heads","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (2).png","I can turn my head almost all the way around—like a little night-time ninja! Who am I?","Owl","Parrot","Bat","Crow","A"
5,"Wolves direct register","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (3).png","When I walk, my back feet step right into my front footprints. Sneaky, right? Who am I?","Cat","Tiger","Fox","Wolf","D"
6,"Sheep wool grows thick","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (4).png","If I’m not shaved, I turn into a giant fluffy ball of wool! Who am I?","Goat","Sheep","Cow","Dog","B"
7,"Goats climb cliffs","/static/animal_images/Gemini_Generated_Image_iygp4jiygp4jiygp (5).png","I climb cliffs like Spider-Man—with hooves that never slip! Who am I?","Goat","Donkey","Camel","Zebra","A"
8,"Eagles huge nests","/static/animal_images/Gemini_Generated_Image_qen7i6qen7i6qen7 (2).png","My nest is so huge it can weigh more than a car—and I keep adding to it every year! Who am I?","Crow","Eagle","Owl","Falcon","B"
9,"Monkeys use tools","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (1).png","I use sticks and stones as tools—call me the tiny engineer of the jungle! Who am I?","Monkey","Crow","Otter","Parrot","A"
10,"Giraffes have 7 neck bones","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (2).png","I have a super long neck, but only seven neck bones—just like humans! Who am I?","Giraffe","Camel","Ostrich","Horse","A"
11,"Rabbits eat poop (cecotropes)","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (3).png","I eat my food twice—yes, even my soft poop! Who am I?","Rabbit","Cow","Panda","Deer","A"
12,"Tigers have skin stripes","/static/animal_images/Gemini_Generated_Image_qxcjz4qxcjz4qxcj (4).png","My stripes are not just on my fur—they’re on my skin too! Who am I?","Zebra","Tiger","Cheetah","Leopard","B"
13,"Crows remember faces","/static/animal_images/Gemini_Generated_Image_3ekhag3ekhag3ekh (1).png","I’m the clever bird who never forgets a face! Who am I?","Parrot","Crow","Owl","Eagle","B"
